Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Fathi S., Jalali S., Ajam A., Sadeghi O.M.","56216931300;57216281352;57216279203;57216279386;","Analysing the effect of trading characteristics on liquidity measures - A combined approach to liquidity: Evidences from Tehran Stock Exchange",2020,"Afro-Asian Journal of Finance and Accounting","10","2",,"262","277",,1,"10.1504/AAJFA.2020.106263","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85083018120&doi=10.1504%2fAAJFA.2020.106263&partnerID=40&md5=adc51aead013b53d6d7feca2dc37d232","Department of Management, Faculty of Administrative Sciences and Economics, University of Isfahan, Iran; Department of Management, Faculty of Management and Economics, P.N. University of Damavand, Iran; Department of Finance, Faculty of Management, University of Tehran, Iran; Department of Mechanical Engineering, Faculty of Engineering, K.N. Toosi University of Technology, Iran","Fathi, S., Department of Management, Faculty of Administrative Sciences and Economics, University of Isfahan, Iran; Jalali, S., Department of Management, Faculty of Management and Economics, P.N. University of Damavand, Iran; Ajam, A., Department of Finance, Faculty of Management, University of Tehran, Iran; Sadeghi, O.M., Department of Management, Faculty of Management and Economics, P.N. University of Damavand, Iran, Department of Mechanical Engineering, Faculty of Engineering, K.N. Toosi University of Technology, Iran","Liquidity estimation has always been of conspicuous importance to all investors as well as risk and return. The purpose of this study is to examine the impact of trading characteristics (price, trading volume, variability, return volatility, absolute stock return, and Beedles thin trading measure) on liquidity measures (Amihud illiquidity ratio, return reversal measure, stock turnover, zero return, turnover-volatility ratio and proportional bid-ask spread) in Tehran Stock Exchange. We extend previous studies by combining different liquidity measures using TOPSIS technique and by employing a multidimensional variable, namely TOPSIS output. Results reveal both of the liquidity measures are strongly related to trading characteristics including stock turnover and zero return. Also, stock price, trading volume, and Beedles thin trading measures are the most significant factors in estimating liquidity. Different effects of different liquidity measures indicate that liquidity is a multidimensional and complex concept, and each measure reflects only one aspect of liquidity. The results of examining the influence of trading characteristics on the combined (multidimensional) liquidity measure indicate that trading characteristics are the main determinants of liquidity. Copyright © 2020 Inderscience Enterprises Ltd.","Liquidity; Liquidity measures; Tehran Stock Exchange; Trading characteristics",,"Fathi, S.; Department of Management, Iran; email: s.fathi@ase.ui.ac.ir",,"Inderscience Publishers",17516447,,,,"English","Afro-Asian J. Financ. Account.",Article,"Final","",Scopus,2-s2.0-85083018120
"Liu W., Wan D., Chen W.","57202334932;56306140000;57212625483;","A closed-form quasi-maximum likelihood estimator of bid-ask spread",2020,"Communications in Statistics: Simulation and Computation","51","3",,"1066","1079",,1,"10.1080/03610918.2019.1662042","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85073830152&doi=10.1080%2f03610918.2019.1662042&partnerID=40&md5=566c33a2e47de0d09ac5255e1bb6f3b4","School of Finance, Capital University of Economics and Business, Beijing, China; School of Finance, Zhejiang Gongshang University, Hangzhou, China; School of Management and Engineering, Capital University of Economics and Business, Beijing, China","Liu, W., School of Finance, Capital University of Economics and Business, Beijing, China; Wan, D., School of Finance, Zhejiang Gongshang University, Hangzhou, China; Chen, W., School of Management and Engineering, Capital University of Economics and Business, Beijing, China","We propose a closed-form quasi-maiximum likelihood (QML) estimator of bid-ask spread from daily high-low ranges under both near-ideal and overnight theoretical frameworks. As is shown that the high-low spread estimator is more precise than that only using closing prices, we pay attention to investigating the statistical properties of such kind of range-based spread estimators, and further demonstrating that our estimator is free from overnight adjustment with higher estimation efficiency. Simulation studies show that the QML estimator has relatively lower bias and RMSE, compared with other prevalent low-frequency measures, and the results are more significant under overnight conditions. © 2019 Taylor & Francis Group, LLC.","Bid-Ask Spread; High-low range; Overnight adjustment; Quasi-maximum likelihood estimation","Frequency estimation; Bid-ask spread; High-low; Overnight adjustment; Quasi-maximum likelihood estimation; Quasi-maximum likelihood estimators; Simulation studies; Statistical properties; Theoretical framework; Maximum likelihood estimation","Liu, W.; School of Finance, China; email: liuweiyi@cueb.edu.cn",,"Taylor and Francis Ltd.",03610918,,,,"English","Commun. Stat. Simul. Comput.",Article,"Final","",Scopus,2-s2.0-85073830152
"Gao Y., Wang M., Wang Y.","57197868927;57229620900;51162001300;","New Moment Estimators of the Effective Spread Based on Daily High and Low Prices",2019,"Journal of Systems Science and Complexity","32","6",,"1693","1726",,2,"10.1007/s11424-019-7364-4","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85076283949&doi=10.1007%2fs11424-019-7364-4&partnerID=40&md5=ee807266fb3ded3c359fea8b806334d1","School of Economics and Management, Beijing University of Technology, Beijing, 100124, China; Guanghua School of Management, Peking University, Beijing, 100871, China","Gao, Y., School of Economics and Management, Beijing University of Technology, Beijing, 100124, China; Wang, M., Guanghua School of Management, Peking University, Beijing, 100871, China; Wang, Y., Guanghua School of Management, Peking University, Beijing, 100871, China","This paper proposes five new simple moment estimators of the effective spread based on the covariance estimator of Roll (1984) and the High-Low estimator recently developed by Corwin and Schultz (2012). And then the authors theoretically investigate the statistical properties of six simple High-Low spread estimators including Corwin and Schultz’s estimator. The biases and mean squared errors (MSE) of these six estimators have been derived and compared with each other asymptotically, which, together with the subsequent simulation study, reveal explicitly the superior performance of newly developed High-Low estimators over Corwin and Schultz’s estimator in both ideal and non-ideal conditions. Moreover, this paper also develops GMM estimators constructed by three or more moment conditions and compares with the six simple High-Low estimators. Finally, several example applications on the U.S. and Chinese financial markets are conducted to demonstrate the superior performance of the new High-Low estimators. The results provide alternative choices for identifying the liquidity proxies that well capture different structure of markets. © 2019, The Editorial Office of JSSC & Springer-Verlag GmbH Germany.","Asymptotic property; bid-ask spread; liquidity; price range; volatility","Costs; Mean square error; Asymptotic properties; Bid-ask spread; liquidity; price range; volatility; Commerce","Gao, Y.; School of Economics and Management, China; email: gaoyang@bjut.edu.cn",,"Springer New York LLC",10096124,,,,"English","J. Syst. Sci. Complex.",Article,"Final","",Scopus,2-s2.0-85076283949
"Lapshin V.","55177754000;","A nonparametric Bayesian approach to term structure fitting",2019,"Studies in Economics and Finance","36","3",,"600","615",,1,"10.1108/SEF-01-2018-0025","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85068922256&doi=10.1108%2fSEF-01-2018-0025&partnerID=40&md5=70967ff4181d0545511c91a0b63ef32a","School of Finance, National Research University Higher School of Economics, Moscow, Russian Federation","Lapshin, V., School of Finance, National Research University Higher School of Economics, Moscow, Russian Federation","Purpose: This paper aims to illustrate how a Bayesian approach to yield fitting can be implemented in a non-parametric framework with automatic smoothing inferred from the data. It also briefly illustrates the advantages of such an approach using real data. Design/methodology/approach: The paper uses an infinite dimensional (functional space) approach to inverse problems. Numerical computations are carried out using a Markov Chain Monte-Carlo algorithm with several tweaks to ensure good performance. The model explicitly uses bid-ask spreads to allow for observation errors and provides automatic smoothing based on them. Findings: A non-parametric framework allows to capture complex shapes of zero-coupon yield curves typical for emerging markets. Bayesian approach allows to assess the precision of estimates, which is crucial for some applications. Examples of estimation results are reported for three different bond markets: liquid (German), medium liquidity (Chinese) and illiquid (Russian). Practical implications: The result shows that infinite-dimensional Bayesian approach to term structure estimation is feasible. Market practitioners could use this approach to gain more insight into interest rates term structure. For example, they could now be able to complement their non-parametric term structure estimates with Bayesian confidence intervals, which would allow them to assess statistical significance of their results. Originality/value: The model does not require parameter tuning during estimation. It has its own parameters, but they are to be selected during model setup. © 2019, Emerald Publishing Limited.","Bayesian approach; Bond pricing; Infinite-dimensional Bayesian inverse problems; Markov Chain Monte-Carlo; Regularization; Term structure fitting",,"Lapshin, V.; School of Finance, Russian Federation; email: vlapshin@hse.ru",,"Emerald Group Holdings Ltd.",10867376,,,,"English","Stud. Econ. Financ.",Article,"Final","",Scopus,2-s2.0-85068922256
"Han Y., Shao X.-F., Cui X., Yue X.-G., Bwalya K.J., Manta O.","56822591600;57215933842;57199951332;36607149900;56026486500;56968091500;","Assessing investor belief: An analysis of trading for sustainable growth of stock markets",2019,"Sustainability (Switzerland)","11","20","5600","","",,12,"10.3390/su11205600","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85073942031&doi=10.3390%2fsu11205600&partnerID=40&md5=e4f905532534c5222e3217f0e48aff5d","School of Humanities and Social Science, Beijing Institute of Technology, Beijing, 100081, China; Business School, University La Trobe Sydney Campus, Sydney, NSW  2000, Australia; Business School, University of International Business and Economics, Beijing, 100029, China; Rattanakosin International College of Creative Entrepreneurship, Rajamangala University of Technology Rattanakosin, Nakon Patom, 73170, Thailand; School of Consumer Intelligence and Information System, University of Johannesburg, APK Campus, Johannesburg, 2006, South Africa; Romanian Academy, Center for Financial and Monetary Research-Victor Slavescu, Bucharest, 010071, Romania","Han, Y., School of Humanities and Social Science, Beijing Institute of Technology, Beijing, 100081, China; Shao, X.-F., Business School, University La Trobe Sydney Campus, Sydney, NSW  2000, Australia; Cui, X., Business School, University of International Business and Economics, Beijing, 100029, China; Yue, X.-G., Rattanakosin International College of Creative Entrepreneurship, Rajamangala University of Technology Rattanakosin, Nakon Patom, 73170, Thailand; Bwalya, K.J., School of Consumer Intelligence and Information System, University of Johannesburg, APK Campus, Johannesburg, 2006, South Africa; Manta, O., Romanian Academy, Center for Financial and Monetary Research-Victor Slavescu, Bucharest, 010071, Romania","Investors' beliefs are the driving force behind the trading of stocks and, hence, sustainable stock returns. Although investors' beliefs are usually unobservable, this study develops a new approach to estimate investors beliefs. Following well-established rational learning and market microstructure models, it is assumed that informed traders submit market orders according to their beliefs, whereas market makers/uninformed traders make Bayesian inferences about the informed traders' private signals after observing the total order flows. By fitting intraday transaction data to this model, we can estimate the daily belief uncertainties of informed and uninformed investors; this estimation is performed on S & P 500 stocks. The belief parameters estimated by this approach have incremental explanatory power to bid-ask spreads. The findings show that market makers' belief uncertainty plays a more important role in determining sustainable stock returns than informed traders'. Implications of these findings include: (a) the larger market maker group is influencing the market trends; (b) this dominant group is making decisions based on diverse types of data; and (c) increased understanding of the diversity of belief parameters may facilitate strategies to enhance sustainable returns, however, stock trading is still significantly influenced by emotive factors worthy of further research. © 2019 by the authors.","Information asymmetry; Investors' beliefs; Liquidity; Stock returns; Stock trading","assessment method; decision making; economic growth; stock market; strategic approach; sustainability","Yue, X.-G.; Rattanakosin International College of Creative Entrepreneurship, Thailand; email: xgyue@foxmail.com",,"MDPI",20711050,,,,"English","Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073942031
"Gao Y., Li Y., Wang Y., Wang C., Liu C.","57197868927;57208087448;51162001300;56113236000;56969799300;","Asymptotic comparison of three spread estimators based on Roll's model",2019,"Physica A: Statistical Mechanics and its Applications","525",,,"420","432",,1,"10.1016/j.physa.2019.03.044","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85063756475&doi=10.1016%2fj.physa.2019.03.044&partnerID=40&md5=8c97a8e8c267bf82bbc3b83a31cbd14a","Research Base of Beijing Modern Manufacturing Development, College of Economics and Management, Beijing University of Technology, Beijing, 100124, China; Guanghua School of Management, Peking University, Beijing, 100871, China; Center of Polymer Studies and Department of Physics, Boston University, Boston, MA  02215, United States","Gao, Y., Research Base of Beijing Modern Manufacturing Development, College of Economics and Management, Beijing University of Technology, Beijing, 100124, China; Li, Y., Research Base of Beijing Modern Manufacturing Development, College of Economics and Management, Beijing University of Technology, Beijing, 100124, China; Wang, Y., Guanghua School of Management, Peking University, Beijing, 100871, China; Wang, C., Research Base of Beijing Modern Manufacturing Development, College of Economics and Management, Beijing University of Technology, Beijing, 100124, China, Center of Polymer Studies and Department of Physics, Boston University, Boston, MA  02215, United States; Liu, C., Research Base of Beijing Modern Manufacturing Development, College of Economics and Management, Beijing University of Technology, Beijing, 100124, China","In this paper we theoretically investigate the statistical properties of three popular bid–ask spread estimators, i.e., the covariance estimator of Roll (1984), the High–Low (HL) estimator based on daily high and low prices developed by Corwin and Schultz (2012) and the Close–High–Low (CHL) estimator recently proposed by Abdi and Ranaldo (2017). The biases and mean squared errors (MSE) of these three estimators have been derived and compared with each other asymptotically, which reveals explicitly the superior performance of HL and CHL estimators over Roll's estimator. Moreover, if the volatility is relatively small compared to the spread, the performance of the CHL estimator is superior to the HL method. Then the subsequent simulation studies and bootstrap analysis on empirical examples also verify the theoretical results. The comparison method discussed here is different from the existing literature, which usually resorts to the correlation between the bid–ask spread estimators with a benchmark calculated from high-frequency data as they compare the performance of different estimators. © 2019 Elsevier B.V.","Asymptotic property; Bid–ask spread; Bootstrap; Liquidity; Price range","Benchmarking; Mean square error; Asymptotic properties; Bootstrap; Comparison methods; High frequency data; Liquidity; Mean squared error; Price range; Statistical properties; Frequency estimation","Wang, C.; College of Economics and Management, China; email: chaowanghn@vip.163.com",,"Elsevier B.V.",03784371,,PHYAD,,"English","Phys A Stat Mech Appl",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85063756475
"Glanzer M., Pflug G.C., Pichler A.","57208142133;7004133509;7004603916;","Incorporating statistical model error into the calculation of acceptability prices of contingent claims",2019,"Mathematical Programming","174","1-2",,"499","524",,5,"10.1007/s10107-018-1352-7","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85063956233&doi=10.1007%2fs10107-018-1352-7&partnerID=40&md5=1a2b8279ed60e1fc53924a15c085525e","Department of Statistics and OR (DSOR), University of Vienna, Oskar-Morgenstern-Platz 1, Vienna, 1090, Austria; Faculty of Mathematics, Chemnitz University of Technology, Chemnitz, Germany","Glanzer, M., Department of Statistics and OR (DSOR), University of Vienna, Oskar-Morgenstern-Platz 1, Vienna, 1090, Austria; Pflug, G.C., Department of Statistics and OR (DSOR), University of Vienna, Oskar-Morgenstern-Platz 1, Vienna, 1090, Austria; Pichler, A., Faculty of Mathematics, Chemnitz University of Technology, Chemnitz, Germany","The determination of acceptability prices of contingent claims requires the choice of a stochastic model for the underlying asset price dynamics. Given this model, optimal bid and ask prices can be found by stochastic optimization. However, the model for the underlying asset price process is typically based on data and found by a statistical estimation procedure. We define a confidence set of possible estimated models by a nonparametric neighborhood of a baseline model. This neighborhood serves as ambiguity set for a multistage stochastic optimization problem under model uncertainty. We obtain distributionally robust solutions of the acceptability pricing problem and derive the dual problem formulation. Moreover, we prove a general large deviations result for the nested distance, which allows to relate the bid and ask prices under model ambiguity to the quality of the observed data. © 2018, The Author(s).","Acceptability pricing; Bid–ask spread; Confidence regions; Distributionally robust optimization; Model ambiguity; Multistage stochastic optimization; Nested distance; Wasserstein distance","Costs; Economics; Optimization; Stochastic systems; Uncertainty analysis; Confidence region; Nested distance; Robust optimization; Stochastic optimizations; Wasserstein distance; Stochastic models","Pflug, G.C.; Department of Statistics and OR (DSOR), Oskar-Morgenstern-Platz 1, Austria; email: georg.pflug@univie.ac.at",,"Springer Verlag",00255610,,,,"English","Math. Program.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85063956233
"How C.C., Tsen W.H.","57211743927;13402671600;","The Effects of Stock Split Announcements on the Stock Returns in Bursa Malaysia",2019,"Jurnal Ekonomi Malaysia","53","2",,"","",,2,"10.17576/JEM-2019-5302-4","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85074931675&doi=10.17576%2fJEM-2019-5302-4&partnerID=40&md5=150ce552970410c36efb4004abf45e1c","Jesselton College, S-1-3 Block City Mall Jalan Lintas, Kota Kinabalu, Sabah, 88300, Malaysia; Faculty of Business Economics and Accountancy, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu Sabah, 88400, Malaysia","How, C.C., Jesselton College, S-1-3 Block City Mall Jalan Lintas, Kota Kinabalu, Sabah, 88300, Malaysia; Tsen, W.H., Faculty of Business Economics and Accountancy, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu Sabah, 88400, Malaysia","This study investigated the presence of abnormal returns surrounding stock split announcements and the determinants of cumulative abnormal return and the split factor. This study utilized the financial data of 45 corporations that had exercised stock splits on Bursa Malaysia from the years 2011 to 2015. The dependent variables were cumulative abnormal return for 40 days, cumulative abnormal return for 60 days, and the split factor. The independent variables, dividends per share and earnings per share, represent the signalling hypothesis for the stocks in Malaysia, while the bid-ask spread and the trading volume represent the liquidity hypothesis and the market capitalization, respectively. The significance of abnormal returns surrounding stock split announcements was tested using standardized t-statistics. The determinants of cumulative abnormal return and the split factor were determined based on Ordinary Least-Squares (OLS) multivariate regression and Stepwise Least-Squares. The empirical results show that there was a statistically significant positive abnormal return on day 1 [+1] after the stock split announcements. Dividend per share was found to have a statistically significant relationship with the cumulative abnormal return; thus supporting the signalling hypothesis. Bid-ask spread and trading volume were the main determinants of cumulative abnormal return, supporting the liquidity hypothesis under a different estimation window. Bid-ask spread was the only important determinant for the split factor. The results of this study could help investors and policymakers to design policies to improve the overall market efficiency in Malaysia, particularly to increase the effectiveness of information disclosure regarding Malaysian stocks. © 2019 Penerbit Universiti Kebangsaan Malaysia. All rights reserved.","Abnormal return; Malaysia; Stock split announcement",,"Tsen, W.H.; Faculty of Business Economics and Accountancy, Malaysia; email: htwong@ums.edu.my",,"Penerbit Universiti Kebangsaan Malaysia",01271962,,,,"English","Jurnal Ekon. Malays.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074931675
"Chen X., Linton O., Schneeberger S., Yi Y.","57203380752;7005640498;57204480475;56263273900;","Semiparametric estimation of the bid–ask spread in extended roll models",2019,"Journal of Econometrics","208","1",,"160","178",,2,"10.1016/j.jeconom.2018.09.010","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85055037706&doi=10.1016%2fj.jeconom.2018.09.010&partnerID=40&md5=a6324b70d0f7951f9c0f3a4e7d234467","Cowles Foundation for Research in Economics, Yale University, PO Box 208281, New Haven CT, 06520-8281, United States; Department of Economics, University of Cambridge, Austin Robinson Building, Sidgwick Avenue, Cambridge, CB3 9DD, United Kingdom; Department of Economics, Yale University, New Haven CT, 06520-8281, United States; School of Economics and Academy of Financial Research, Zhejiang University, Zhejiang, 310058, China","Chen, X., Cowles Foundation for Research in Economics, Yale University, PO Box 208281, New Haven CT, 06520-8281, United States; Linton, O., Department of Economics, University of Cambridge, Austin Robinson Building, Sidgwick Avenue, Cambridge, CB3 9DD, United Kingdom; Schneeberger, S., Department of Economics, Yale University, New Haven CT, 06520-8281, United States; Yi, Y., School of Economics and Academy of Financial Research, Zhejiang University, Zhejiang, 310058, China","We propose new methods for estimating the bid–ask spread from observed transaction prices alone. Our methods are based on the empirical characteristic function. We compare our methods theoretically and numerically with the Roll (1984) method as well as with its best known competitor, the Hasbrouck (2004) method, and find that our estimators perform much better when this distribution is far from Gaussian. Our methods are applied to the E-mini futures contract on the S&P 500 during the Flash Crash of May 6, 2010. We also establish [Formula presented] consistency and asymptotic normality of the proposed estimators in various extended Roll models. © 2018 Elsevier B.V.","Bid–ask spread; Empirical characteristic function; Latent variables; Roll model; Semiparametric estimation","Economics; Asymptotic normality; Empirical characteristic function; Futures contract; Gaussians; Latent variable; Semi parametric estimation; Transaction price; Mathematical techniques","Yi, Y.; School of Economics and Academy of Financial Research, China; email: yanping.yi@gmail.com",,"Elsevier Ltd",03044076,,JECMB,,"English","J Econom",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85055037706
"Będowska-Sójka B.","56893754600;","The coherence of liquidity measures. The evidence from the emerging market",2018,"Finance Research Letters","27",,,"118","123",,23,"10.1016/j.frl.2018.02.014","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85042652234&doi=10.1016%2fj.frl.2018.02.014&partnerID=40&md5=606df3b12bf7bb140f2c752536e6f157","Department of Econometrics, Poznań University of Economics and Business, Poznań, Poland","Będowska-Sójka, B., Department of Econometrics, Poznań University of Economics and Business, Poznań, Poland","This study examines the coherence of liquidity measures for 52 stocks listed on the Warsaw Stock Exchange. Using measures widely employed in the developed markets, we show that Amihud illiquidity best reflects the bid-ask spread calculated from the transaction data, followed by the high–low range and the high–low spread estimator. We find that the introduction of UTP system in 2013 caused the decrease in transaction cost. The interdependencies between proxies and bid-ask spreads are weaker than in developed markets, but they strengthen within the time. © 2018 Elsevier Inc.","Bid-ask spread; High–low range; High–low spread; Liquidity proxy; LOT",,,,"Elsevier Ltd",15446123,,,,"English","Finan. Res. Lett.",Article,"Final","",Scopus,2-s2.0-85042652234
"Li Z., Lambe B., Adegbite E.","56075199100;54381988100;43561039600;","New bid-ask spread estimators from daily high and low prices",2018,"International Review of Financial Analysis","60",,,"69","86",,3,"10.1016/j.irfa.2018.08.014","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85053507797&doi=10.1016%2fj.irfa.2018.08.014&partnerID=40&md5=85a5563910a9f6cef8f9ebf4f2dab15b","School of Business, University of Leicester, University Road, Leicester, LE1 7RH, United Kingdom; Department of Accounting and Finance, De Montfort University, United Kingdom; Business School, The University of Nottingham, United Kingdom; James Cook University, Singapore","Li, Z., School of Business, University of Leicester, University Road, Leicester, LE1 7RH, United Kingdom; Lambe, B., Department of Accounting and Finance, De Montfort University, United Kingdom; Adegbite, E., Business School, The University of Nottingham, United Kingdom, James Cook University, Singapore","Estimating trading costs in the absence of recorded data is a problem that continues to puzzle financial market researchers. We address this challenge by introducing two low frequency bid-ask spread estimators using daily high and low transaction prices. The range of mid-prices is an increasing function of the sampling interval, while the bid-ask spread and the relationship between trading direction and the mid-price are not constrained by it and are therefore independent. Monte Carlo simulations and data analysis from the equity and foreign exchange markets demonstrate that these models (especially SHL2) significantly out-perform the most widely used low-frequency estimators, such as those proposed in Corwin and Schultz (2012) and most recently in Abdi and Ronaldo (2017). Using real world data we show that one of our estimators (SHL2)’s root mean square error (RMSE) is almost less than a half (even 20%) of the competitors. We illustrate how our models can be applied to deduce historical market liquidity in US, UK, Hong Kong and the Thai stock markets. Our estimator can also effectively act as a gauge for market volatility and as a measure of liquidity risk in asset pricing. © 2018 Elsevier Inc.","Effective spread; High-low spread estimator; Market liquidity; Transaction cost",,"Li, Z.; School of Business, University Road, United Kingdom; email: zhiyong.li@le.ac.uk",,"Elsevier Inc.",10575219,,,,"English","Int. Rev. Financ. Anal.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85053507797
"Koutmos D.","36350257900;","Liquidity uncertainty and Bitcoin's market microstructure",2018,"Economics Letters","172",,,"97","101",,30,"10.1016/j.econlet.2018.08.041","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85052957051&doi=10.1016%2fj.econlet.2018.08.041&partnerID=40&md5=73cf075910d276fb0caac8023035916f","Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609, United States","Koutmos, D., Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609, United States","This paper provides a novel measure of liquidity uncertainty for Bitcoin using bid–ask spread data from Bitfinex − one of the largest and most liquid Bitcoin exchanges. This measure can be used to analyze liquidity developments in Bitcoin exchanges or to gauge the immediacy associated with buying or selling Bitcoin. It then proceeds to identify what aspects of Bitcoin's market microstructure can explain the time series behavior of this liquidity uncertainty. The estimation results are based on a Markov regime-switching model that captures episodes of high and low liquidity uncertainty for Bitcoin over the period from October 2013 to March 2018. © 2018 Elsevier B.V.","Bitcoin; GARCH; Liquidity; Market microstructure; Markov regime-switching",,,,"Elsevier B.V.",01651765,,ECLED,,"English","Econ. Lett.",Article,"Final","",Scopus,2-s2.0-85052957051
"Nieto B.","6701427286;","Bid–ask spread estimator from high and low daily prices: Practical implementation for corporate bonds",2018,"Journal of Empirical Finance","48",,,"36","57",,4,"10.1016/j.jempfin.2018.06.003","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85048961775&doi=10.1016%2fj.jempfin.2018.06.003&partnerID=40&md5=e5c5fd427fd62990d47ed77415e4424f","Financial Economics and Accounting, University of Alicante, Ctra. San Vicente sn, Alicante, E-03690, Spain","Nieto, B., Financial Economics and Accounting, University of Alicante, Ctra. San Vicente sn, Alicante, E-03690, Spain",[No abstract available],"Corporate bonds; Liquidity; Transaction cost",,,,"Elsevier B.V.",09275398,,JEFIE,,"English","J. Empir. Financ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85048961775
"Liu Q., Liu Y., Liu Z., Wang L.","57216083770;57194616802;16245021700;57198779464;","Estimation of spot volatility with superposed noisy data",2018,"North American Journal of Economics and Finance","44",,,"62","79",,2,"10.1016/j.najef.2017.11.004","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85037048156&doi=10.1016%2fj.najef.2017.11.004&partnerID=40&md5=882a883683fd57b1f5e8c3e791a01612","Department of Mathematics, University of Macau, Macau SAR, Macau; UMacau Zhuhai Research Institute, Zhuhai, China","Liu, Q., Department of Mathematics, University of Macau, Macau SAR, Macau; Liu, Y., Department of Mathematics, University of Macau, Macau SAR, Macau; Liu, Z., Department of Mathematics, University of Macau, Macau SAR, Macau, UMacau Zhuhai Research Institute, Zhuhai, China; Wang, L., Department of Mathematics, University of Macau, Macau SAR, Macau","By using high frequency financial data, we nonparametrically estimate the spot volatility at any given time point, while the simultaneous presence of multiple transactions and market microstructure noise in the observation procedure are considered. Our estimator is based on the summation of the locally ranged increments, while kernel smoothing give us spot volatility. Besides, the microstructure noise can be estimated and removed, if it is modeled as bid-ask spread, which is a frequently used assumption. The consistency and asymptotic normality of the estimator are established. We do some simulation studies to assess the finite sample performance of our estimator. The estimator is also applied to some real data sets, further, the relationship between multiple records and spot volatility is also explored. © 2017 Elsevier Inc.","Central limit theorem; High frequency financial data; Kernel estimate; Microstructure noise; Multiple records; Range-based estimation; Spot volatility",,"Liu, Y.; UMacau Zhuhai Research InstituteChina; email: liuyiqi.2008@163.com",,"Elsevier Inc.",10629408,,,,"English","North Am. J. Econ. Financ.",Article,"Final","",Scopus,2-s2.0-85037048156
"Abdi F., Ranaldo A.","57225970559;23111744300;","A simple estimation of bid-Ask spreads from daily close, high, and low prices",2017,"Review of Financial Studies","30","12",,"4437","4480",,87,"10.1093/rfs/hhx084","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-85042330201&doi=10.1093%2frfs%2fhhx084&partnerID=40&md5=c3df334d772ccc535bcba74876e59e7a","University of St. Gallen, Switzerland; University of St. Gallen, Swiss Institute of Banking and Finance, Unterer Graben 21, St. Gallen, 9000, Switzerland","Abdi, F., University of St. Gallen, Switzerland; Ranaldo, A., University of St. Gallen, Swiss Institute of Banking and Finance, Unterer Graben 21, St. Gallen, 9000, Switzerland","We propose a new method to estimate the bid-Ask spread when quote data are not available. Compared to other low-frequency estimates, this method utilizes a wider information set, namely, readily available close, high, and low prices. In the absence of end-of-day quote data, this method generally provides the highest cross-sectional and average time-series correlations with the TAQ effective spread benchmark. Moreover, it delivers the most accurate estimates for less liquid stocks. Our estimator has many potential applications, including an accurate measurement of transaction cost, systematic liquidity risk, and commonality in liquidity for U.S. stocks dating back almost one century. (JEL G15,G12, G20) © The Author 2017.",,,"Ranaldo, A.; University of St. Gallen, Unterer Graben 21, Switzerland; email: angelo.ranaldo@unisg.ch",,"Oxford University Press",08939454,,,,"English","Rev. Financ. Stud.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85042330201
